Nombre, Apellido, Edad, Correo Empresarial
Ana, Garcia, 34, ana.garcia@deepskill.com
Luis, Fernandez, 28, luis.fernandez@deepskill.com
Sofia, Ruiz, 23, sofia.ruiz@deepskill.com
Miguel, Hernandez, 45, miguel.hernandez@deepskill.com
Daniela, Martinez,31, daniela.martinez@deepskill.com
Carlos, Gomez,22, carlos.gomez@deepskill.com
Lucia, Lopez,27, lucia.lopez@deepskill.com
Jose, Gonzales, 55, jose.gonzalez@deepskill.com
Maria, Perez, 19, maria.perez@deepskill.com
Juan, Sanchez, 41, juan.sanchez@deepskill.com
